,Open,GBM_lower_bound,GBM_upper_bound,Year,Month,Day,Close
335,18033.15,17879.71417260572,18232.32510342877,2023,1,16,17894.85
336,17867.5,17690.955753240978,18044.79448082744,2023,1,13,17956.60
337,17920.85,17755.41452316614,18097.653669670148,2023,1,12,17858.20
338,17924.25,17768.135422276304,18125.8823587132,2023,1,11,17895.70
339,18121.3,17948.177024312412,18318.436508899078,2023,1,10,17914.15
340,17952.55,17767.915930082632,18118.171647400293,2023,1,9,18101.20
341,18008.05,17833.112744738984,18180.404918791173,2023,1,6,17859.45
342,18101.95,17921.04537623894,18274.31887302405,2023,1,5,17992.15
343,18230.65,18055.719084444954,18415.77391242665,2023,1,4,18042.95
344,18163.2,18002.515706419723,18361.388171415325,2023,1,3,18232.55
345,18131.7,17969.63179892468,18337.66733690085,2023,1,2,18197.45
346,18259.1,18060.15546780549,18426.13266614603,2022,12,30,18105.30
347,18045.7,17869.0881900487,18211.168360933243,2022,12,29,18191.00
348,18084.75,17909.620893777104,18278.41248421401,2022,12,28,18122.50
349,18089.8,17917.85946956841,18289.23469254532,2022,12,27,18132.30
350,17830.4,17636.71245821329,17993.710940139572,2022,12,26,18014.60
351,17977.65,17816.5559532347,18164.566446799192,2022,12,23,17806.80
352,18288.8,18139.772136738455,18498.198636704365,2022,12,22,18127.35
353,18435.15,18267.189835063655,18635.12951305705,2022,12,21,18199.10
354,18340.3,18178.592599362957,18569.34534605588,2022,12,20,18385.30
355,18288.1,18099.932024362202,18450.80655352982,2022,12,19,18420.45
356,18319.1,18141.38286767024,18494.76870253892,2022,12,16,18269.00
357,18614.4,18422.550602670122,18801.822002154506,2022,12,15,18414.90
358,18671.25,18498.142191357576,18860.067985102887,2022,12,14,18660.30
359,18524.4,18347.978830789867,18714.09263941139,2022,12,13,18608.00
360,18402.15,18221.668999066205,18582.213722812907,2022,12,12,18497.15
361,18662.4,18501.05442703852,18878.541024709582,2022,12,9,18496.60
362,18570.85,18364.922714868888,18744.84144611041,2022,12,8,18609.35
363,18638.85,18466.70477191701,18814.644140072338,2022,12,7,18560.50
364,18600.65,18431.862272479277,18802.35583018186,2022,12,6,18642.75
365,18719.55,18542.798553380962,18894.55588808578,2022,12,5,18701.05
366,18752.4,18582.50797552946,18960.489169369794,2022,12,2,18696.10
367,18871.95,18700.321865734008,19104.795895907933,2022,12,1,18812.50
368,18625.7,18465.325756995062,18807.144055688877,2022,11,30,18758.35
369,18552.45,18410.578849008445,18775.497551792057,2022,11,29,18618.05
370,18430.55,18262.48468301325,18622.211461473402,2022,11,28,18562.75
371,18528.45,18342.936252517065,18730.941082197427,2022,11,25,18512.75
372,18326.1,18151.074705719493,18518.99965738017,2022,11,24,18484.10
373,18325.2,18143.366462845206,18490.207605678414,2022,11,23,18267.25
374,18179.15,18016.507496148435,18373.62078332333,2022,11,22,18244.20
375,18246.4,18043.455700894363,18423.456264138644,2022,11,21,18159.95
376,18382.95,18199.714436887247,18557.771626923746,2022,11,18,18307.65
377,18358.7,18188.273992569862,18540.73514043146,2022,11,17,18343.90
378,18398.25,18238.806353622163,18596.085931755584,2022,11,16,18409.65
379,18362.75,18181.505483265148,18543.923008304926,2022,11,15,18403.40
380,18376.4,18195.205394346238,18562.69021135909,2022,11,14,18329.15
381,18272.35,18091.71437396497,18462.806354556138,2022,11,11,18349.70
382,18044.35,17890.097671567666,18237.582283925978,2022,11,10,18028.20
383,18288.25,18098.560101837455,18461.679760315903,2022,11,9,18157.00
384,18211.75,18047.84821162304,18393.710082806265,2022,11,7,18202.80
385,18053.4,17857.029737606863,18228.836086191124,2022,11,4,18117.15
386,17968.35,17783.777638357493,18145.137521199515,2022,11,3,18052.70
387,18177.9,18009.9400476844,18377.479360030415,2022,11,2,18082.85
388,18130.7,17970.989601594185,18327.40092606612,2022,11,1,18145.40
389,17910.2,17742.866769478715,18082.837209606398,2022,10,31,18012.20
390,17756.4,17580.405217954307,17952.058727773543,2022,10,28,17786.80
391,17771.4,17606.026776955667,17935.09789374693,2022,10,27,17736.95
392,17808.3,17648.24067262927,18006.094341280063,2022,10,25,17656.35
393,17736.35,17573.192702279714,17905.403022705363,2022,10,24,17730.75
